# Server version 0.08 running on web024023.wireless.mcgill.ca:8123
# Game ID: 117
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Fri Apr 11 20:18:19 EDT 2014
# Player 1: Player-0, '260457751', running on localhost
# Player 2: Player-1, 'random', running on web024023.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on web024023.wireless.mcgill.ca
# Player 4: Player-3, 'random', running on web024023.wireless.mcgill.ca
START Player-0 260457751
START Player-1 random
START Player-2 random
START Player-3 random
1 (13,2) (13,1)
2 (3,14) (2,13)
3 (10,14) (9,14)
0 (8,6) (9,7)
1 (13,1) (14,2)
2 (6,13) (5,13)
3 (13,10) (15,12)
3 (15,12) (15,10)
3 null null
0 (9,7) (10,8)
1 (14,4) (13,5)
2 (5,10) (5,9)
3 (12,15) (11,14)
0 (10,8) (11,9)
1 (14,0) (13,1)
2 (4,12) (2,14)
2 null null
3 (11,13) (13,11)
3 null null
0 (11,8) (11,10)
0 null null
1 (13,4) (12,5)
2 (4,14) (4,13)
3 (15,10) (15,8)
3 null null
0 (11,9) (11,11)
0 null null
1 (12,5) (12,7)
1 null null
2 (5,11) (6,10)
3 (13,13) (12,13)
0 (11,11) (13,13)
0 (13,13) (15,13)
0 null null
1 (15,0) (14,0)
2 (3,7) (3,8)
3 (15,11) (15,12)
0 (11,10) (12,11)
1 (12,1) (11,1)
2 (4,13) (4,12)
3 (11,14) (10,13)
0 (4,3) (5,4)
1 (14,2) (14,1)
2 (3,8) (3,9)
3 (10,13) (8,15)
3 null null
0 (5,4) (6,5)
1 (13,5) (13,6)
2 (2,12) (1,12)
3 (15,9) (15,7)
3 null null
0 (6,5) (7,6)
1 (12,6) (11,6)
2 (5,9) (4,9)
3 (14,11) (14,9)
3 null null
0 (6,7) (8,5)
0 (8,5) (10,5)
0 (10,5) (10,7)
0 (10,7) (12,5)
0 (12,5) (14,7)
0 null null
1 (13,6) (13,5)
2 (7,15) (8,14)
3 (9,14) (9,13)
0 (10,6) (12,6)
0 (12,6) (12,8)
0 null null
1 (11,3) (11,4)
2 (3,9) (2,10)
3 (14,12) (13,13)
0 (12,8) (13,9)
1 (14,0) (12,0)
1 null null
2 (2,14) (2,12)
2 null null
3 (9,13) (9,12)
0 (13,9) (15,11)
0 null null
1 (12,7) (10,5)
1 null null
2 (5,13) (3,11)
2 null null
3 (14,9) (15,10)
0 (15,11) (14,12)
1 (15,2) (15,0)
1 null null
2 (1,12) (3,14)
2 null null
3 (14,10) (13,10)
0 (7,6) (8,7)
1 (15,0) (15,2)
1 null null
2 (4,12) (2,14)
2 (2,14) (4,14)
2 null null
3 (15,7) (14,8)
0 (14,7) (14,9)
0 null null
1 (13,5) (13,4)
2 (2,10) (2,9)
3 (13,14) (11,14)
3 null null
0 (8,7) (9,8)
1 (9,5) (10,4)
2 (2,8) (1,9)
3 (13,11) (13,9)
3 null null
0 (9,8) (10,9)
1 (15,2) (15,3)
2 (4,14) (5,13)
3 (15,12) (14,11)
0 (10,9) (11,10)
1 (12,0) (11,0)
2 (2,9) (1,10)
3 (11,14) (12,15)
0 (11,10) (11,11)
1 (9,0) (9,1)
2 (2,15) (2,14)
3 (15,8) (15,9)
0 (11,11) (13,11)
0 (13,11) (15,11)
0 null null
1 (10,5) (10,6)
2 (3,11) (2,11)
3 (13,9) (15,7)
3 null null
0 (15,11) (15,12)
1 (10,6) (12,6)
1 null null
2 (4,9) (5,9)
3 (13,10) (11,12)
3 (11,12) (13,14)
3 (13,14) (11,14)
3 null null
0 (9,11) (9,13)
0 (9,13) (7,15)
0 (7,15) (9,15)
0 null null
1 (11,4) (12,5)
2 (5,9) (7,11)
2 null null
3 (9,12) (9,13)
0 (14,9) (14,10)
1 (11,1) (10,0)
2 (5,13) (4,13)
3 (12,15) (10,13)
3 null null
0 (14,10) (15,11)
1 (12,5) (12,4)
2 (1,9) (1,11)
2 null null
3 (9,13) (10,12)
0 (9,15) (7,15)
0 (7,15) (9,13)
0 (9,13) (11,13)
0 (11,13) (11,15)
0 null null
1 (10,0) (11,1)
2 (6,10) (5,10)
3 (8,15) (9,15)
0 (11,15) (12,15)
1 (11,0) (12,0)
2 (3,14) (2,15)
3 (10,12) (10,14)
3 null null
0 (12,14) (13,14)
1 (15,1) (15,0)
2 (3,13) (4,14)
3 (11,14) (11,13)
0 (12,11) (13,11)
1 (10,4) (11,5)
2 (2,14) (3,13)
3 (15,7) (13,9)
3 null null
0 (14,12) (12,14)
0 null null
1 (13,1) (14,2)
2 (1,11) (3,11)
2 null null
3 (13,9) (12,8)
0 (13,11) (14,12)
1 (11,5) (10,4)
2 (7,11) (7,12)
3 (13,12) (12,11)
0 (15,11) (14,10)
1 (9,1) (10,2)
2 (2,15) (2,14)
3 (12,12) (13,12)
0 (14,10) (15,11)
1 (10,4) (10,5)
2 (3,13) (5,13)
2 null null
3 (14,8) (13,8)
0 (15,11) (14,10)
1 (10,5) (11,4)
2 (7,12) (8,12)
3 (15,9) (14,8)
0 (14,10) (15,11)
1 (11,6) (11,5)
2 (5,13) (3,15)
2 (3,15) (1,13)
2 null null
3 (10,14) (9,13)
0 (15,11) (15,9)
0 null null
1 (15,0) (14,0)
GAMEOVER 
WINNER Player-0
# Game ended: Fri Apr 11 20:18:20 EDT 2014
